2025-05-28 03:05:43 | INFO | Ollama integration available
2025-05-28 03:06:29 | INFO | Ollama integration available
2025-05-28 03:06:43 | INFO | Generating course for topic: Python Programming, level: beginner, days: 30
2025-05-28 03:06:43.474 | INFO     | main:generate_course_endpoint:27 - Generating course for topic: Python Programming, level: beginner, days: 30
2025-05-28 03:06:43 | INFO | Attempting to generate course using AI.
2025-05-28 03:06:43.474 | INFO     | course_generator:generate_course_with_ai:69 - Attempting to generate course using AI.
2025-05-28 03:06:43 | ERROR | Error generating content with Ollama: Client.generate() got an unexpected keyword argument 'num_predict'
2025-05-28 03:06:43.474 | ERROR    | ai_service:generate_content:22 - Error generating content with Ollama: Client.generate() got an unexpected keyword argument 'num_predict'
2025-05-28 03:06:43 | ERROR | AI generation failed: Failed to generate course outline
2025-05-28 03:06:43.475 | ERROR    | course_generator:generate_course_with_ai:92 - AI generation failed: Failed to generate course outline
2025-05-28 03:06:43 | WARNING | AI generation failed with error: Failed to generate course outline
2025-05-28 03:06:43.475 | WARNING  | course_generator:generate_course:15 - AI generation failed with error: Failed to generate course outline
2025-05-28 03:06:43 | INFO | Falling back to rule-based course generation.
2025-05-28 03:06:43.475 | INFO     | course_generator:generate_course_rule_based:21 - Falling back to rule-based course generation.
2025-05-28 03:06:43 | INFO | Course generated successfully
2025-05-28 03:06:43.475 | INFO     | main:generate_course_endpoint:29 - Course generated successfully
2025-05-28 03:15:38 | INFO | Generating course for topic: Python Programming, level: beginner, days: 7
2025-05-28 03:15:38.394 | INFO     | main:generate_course_endpoint:27 - Generating course for topic: Python Programming, level: beginner, days: 7
2025-05-28 03:15:38 | INFO | Attempting to generate course using AI.
2025-05-28 03:15:38.394 | INFO     | course_generator:generate_course_with_ai:69 - Attempting to generate course using AI.
2025-05-28 03:15:38 | ERROR | Error generating content with Ollama: Client.generate() got an unexpected keyword argument 'num_predict'
2025-05-28 03:15:38.394 | ERROR    | ai_service:generate_content:22 - Error generating content with Ollama: Client.generate() got an unexpected keyword argument 'num_predict'
2025-05-28 03:15:38 | ERROR | AI generation failed: Failed to generate course outline
2025-05-28 03:15:38.394 | ERROR    | course_generator:generate_course_with_ai:92 - AI generation failed: Failed to generate course outline
2025-05-28 03:15:38 | WARNING | AI generation failed with error: Failed to generate course outline
2025-05-28 03:15:38.394 | WARNING  | course_generator:generate_course:15 - AI generation failed with error: Failed to generate course outline
2025-05-28 03:15:38 | INFO | Falling back to rule-based course generation.
2025-05-28 03:15:38.395 | INFO     | course_generator:generate_course_rule_based:21 - Falling back to rule-based course generation.
2025-05-28 03:15:38 | INFO | Course generated successfully
2025-05-28 03:15:38.395 | INFO     | main:generate_course_endpoint:29 - Course generated successfully
2025-05-28 03:16:53 | INFO | Ollama integration available
2025-05-28 03:17:54 | INFO | Ollama integration available
2025-05-28 03:18:13 | INFO | Generating course for topic: Python Programming, level: beginner, days: 7
2025-05-28 03:18:13.239 | INFO     | main:generate_course_endpoint:27 - Generating course for topic: Python Programming, level: beginner, days: 7
2025-05-28 03:18:13 | INFO | Attempting to generate course using AI.
2025-05-28 03:18:13.240 | INFO     | course_generator:generate_course_with_ai:69 - Attempting to generate course using AI.
2025-05-28 03:23:54 | INFO | Ollama integration available
2025-05-28 03:24:09 | INFO | Generating course for topic: Python Programming, level: beginner, days: 7
2025-05-28 03:24:09.837 | INFO     | main:generate_course_endpoint:27 - Generating course for topic: Python Programming, level: beginner, days: 7
2025-05-28 03:24:09 | INFO | Attempting to generate course using AI.
